pressure,dewpoint,humidity,cloud,rainfall,sunshine,winddirection,windspeed
1008.2,25.0,85,81,1,2.5,90.0,15.1
1013.4,19.5,69,17,0,10.5,70.0,12.4
1006.1,24.4,74,27,0,10.8,220.0,8.7
1016.8,16.8,95,95,1,0.0,60.0,35.1
1021.2,8.4,66,18,0,10.1,20.0,24.4
1013.4,16.0,96,100,1,0.0,50.0,33.5
1011.3,23.1,73,60,0,9.0,70.0,39.5
1005.7,25.7,86,79,1,6.5,20.0,20.5
1017.8,23.1,81,53,0,8.4,100.0,16.5
1016.8,20.7,91,70,1,6.0,40.0,9.4
1017.6,19.0,79,85,0,2.0,70.0,25.0
1006.8,25.2,92,88,1,0.0,220.0,5.9
1016.2,17.1,83,88,0,0.2,70.0,39.5
1007.5,25.3,74,72,1,10.1,230.0,23.7
1005.6,20.0,56,53,0,10.4,230.0,15.5
1014.5,19.5,86,83,0,3.6,50.0,8.3
1022.0,15.6,81,83,1,0.6,50.0,15.3
1013.0,21.4,94,85,1,1.5,40.0,12.5
1023.1,12.1,72,86,0,0.9,10.0,21.8
1009.1,19.3,94,88,1,0.0,70.0,29.8
1010.2,16.7,59,79,0,4.4,20.0,17.3
1006.3,26.1,84,67,1,5.0,270.0,6.9
1006.9,24.2,94,88,1,0.1,40.0,22.3
1024.1,8.4,58,19,0,11.1,30.0,14.6
1020.6,7.8,52,46,0,3.5,20.0,34.3
1012.0,19.0,97,92,1,0.1,30.0,13.1
1013.0,25.3,81,84,1,2.9,30.0,7.9
998.5,24.0,62,55,0,10.8,290.0,17.2
1008.1,25.4,86,75,1,5.7,20.0,9.5
1007.8,25.4,89,87,1,0.4,50.0,8.6
1015.3,18.9,86,83,0,6.1,50.0,4.5
1007.5,26.7,78,61,1,8.6,60.0,15.7
1014.8,16.3,95,95,1,0.1,60.0,38.3
1020.9,14.0,75,46,0,10.0,40.0,14.7
1020.0,15.5,88,80,0,3.3,50.0,21.2
1010.3,25.2,76,29,0,11.4,240.0,14.5
1009.5,25.3,75,32,0,9.3,220.0,10.9
1009.9,25.5,86,67,1,8.8,110.0,14.8
1008.6,20.6,75,62,0,8.8,80.0,26.0
1011.6,24.5,78,54,0,11.4,100.0,9.8
1006.0,26.3,79,58,0,10.0,230.0,27.4
1017.4,20.1,75,51,0,7.4,70.0,23.9
1032.6,3.7,46,25,0,10.1,20.0,28.7
1013.3,20.8,91,78,1,1.0,40.0,14.8
1004.9,25.3,78,38,0,11.0,230.0,20.5
1025.9,-0.4,39,25,0,9.1,20.0,35.6
1010.4,23.0,84,78,1,4.6,50.0,12.5
1021.8,15.0,79,56,0,3.4,30.0,21.5
1010.1,25.0,81,69,0,3.9,170.0,16.3
1014.6,20.7,87,88,0,2.3,50.0,9.2
1007.8,22.7,77,63,0,5.6,20.0,11.3
1025.4,8.7,62,71,0,2.1,30.0,29.0
1010.3,26.1,80,41,0,12.0,130.0,12.4
1016.7,21.2,78,47,0,7.7,90.0,19.6
1011.1,23.7,77,46,1,8.4,100.0,21.4
1017.5,9.8,64,77,1,0.1,40.0,22.0
1001.0,25.9,75,46,0,10.4,280.0,23.5
1011.4,23.4,87,82,1,2.7,40.0,9.2
1010.5,22.7,89,81,1,3.5,210.0,15.3
1017.7,20.6,82,85,1,2.6,80.0,43.8
1008.4,24.6,72,21,0,12.1,240.0,16.0
1008.9,25.4,77,32,0,11.9,250.0,21.6
1004.2,26.6,81,88,1,2.4,220.0,30.0
1022.4,9.7,57,44,0,8.6,60.0,39.3
1020.3,13.3,88,94,1,0.0,40.0,22.2
1017.0,21.1,80,83,0,0.4,70.0,40.4
1021.9,11.8,89,95,1,0.0,40.0,18.6
1007.8,24.7,82,62,1,8.8,100.0,16.2
1008.0,25.8,78,67,1,10.2,220.0,18.1
1015.8,23.3,82,58,1,7.7,50.0,12.8
1009.3,24.5,78,74,1,7.7,200.0,14.5
1021.8,10.9,76,45,0,9.2,40.0,9.1
1017.7,11.4,87,100,1,0.0,50.0,36.0
1023.9,9.2,75,88,1,0.2,20.0,19.4
1019.4,16.5,77,93,1,0.0,20.0,27.9
1019.9,13.7,79,86,0,0.6,20.0,23.9
1015.8,18.0,79,72,0,7.6,220.0,6.6
1009.9,25.3,83,84,0,2.9,190.0,15.5
1015.5,16.8,86,80,1,5.1,20.0,10.2
1023.8,11.5,72,49,0,9.5,20.0,9.2
1006.7,24.7,77,23,0,11.1,230.0,17.3
1023.8,11.4,72,32,0,10.6,60.0,27.1
1009.2,21.9,92,93,1,0.0,190.0,20.5
1011.9,24.5,81,86,1,2.1,70.0,32.2
1000.3,25.0,81,88,1,2.5,240.0,18.8
1013.0,25.8,90,87,1,0.7,60.0,18.2
1008.9,26.0,79,78,1,5.3,190.0,21.9
1011.7,23.7,83,88,1,1.6,60.0,52.8
1020.6,14.3,78,79,0,3.3,70.0,39.3
1008.3,17.3,58,78,0,7.5,10.0,17.2
1008.5,26.3,78,59,1,9.1,170.0,12.1
1007.7,25.7,77,59,0,10.4,230.0,16.6
1002.2,25.5,77,70,0,7.7,350.0,13.6
1017.4,18.1,86,88,1,0.0,70.0,35.3
1022.7,11.6,92,95,1,0.2,20.0,29.6
1005.1,24.9,74,47,1,10.4,50.0,14.1
1012.5,18.9,93,88,0,0.3,40.0,15.3
1018.9,17.7,75,56,1,6.0,100.0,15.7
1024.7,11.5,73,43,0,9.9,70.0,34.2
1007.9,25.4,83,75,1,5.5,220.0,20.8
1010.6,25.1,81,69,0,4.7,170.0,12.1
1009.4,23.1,75,60,0,8.3,60.0,29.0
1002.4,24.3,70,48,0,7.8,10.0,11.0
1020.4,21.6,79,66,1,5.3,80.0,40.8
1021.1,14.9,75,88,1,0.6,50.0,37.9
1006.5,24.4,79,84,1,4.5,210.0,8.9
1013.2,25.2,92,95,1,0.0,120.0,50.7
1022.2,11.0,77,82,1,0.0,70.0,44.7
1020.4,13.5,75,89,1,0.7,10.0,27.6
1018.1,16.9,82,71,0,3.0,40.0,15.4
1008.9,26.1,74,39,0,10.6,150.0,9.1
1000.0,24.2,69,30,1,7.6,220.0,11.7
1007.6,24.8,85,84,1,1.8,70.0,34.8
1008.4,24.7,72,20,0,11.4,210.0,9.6
1011.4,25.2,82,80,0,3.8,150.0,9.5
1014.7,17.4,91,96,1,0.0,50.0,28.0
1018.2,22.9,81,61,1,7.0,90.0,24.2
1024.4,10.1,61,19,0,10.7,40.0,16.9
1009.8,21.4,80,78,1,5.0,70.0,28.6
1010.7,22.0,90,81,1,1.0,300.0,11.1
1020.8,14.4,78,28,0,7.7,60.0,14.3
1013.9,23.8,90,51,0,7.0,80.0,17.2
1012.5,21.1,89,76,0,3.5,200.0,10.2
1010.9,24.8,94,88,1,0.0,110.0,16.5
1017.0,22.9,84,58,1,5.9,70.0,22.1
1022.5,4.3,49,11,0,9.3,10.0,48.0
1003.4,24.9,72,40,0,10.0,290.0,10.9
1007.4,25.1,90,88,1,0.2,210.0,12.9
